title,url,DIS_price,pre_price
Sony Bravia 55X75K 55 Inch 4K HDR Android Google LED TV,https://www.daraz.com.bd/products/sony-bravia-55x75k-55-4k-hdr-led-i289602249-s1292183815.html?search=1,"৳ 83,000","৳ 150,000"
Samsung 65 inch Air Slim BU8100 4K Smart Crystal (New Model 2022),https://www.daraz.com.bd/products/samsung-65-bu8100-4k-2022-i230616469-s1174017587.html?search=1,"৳ 97,021","৳ 134,990"
"Samsung 32"" N4010 HD LED Basic TV - Series 4 official warranty",https://www.daraz.com.bd/products/samsung-32-n4010-hd-led-4-i215815630-s1164276849.html?search=1,"৳ 16,413","৳ 21,900"
Vikan 43 Inch 4k Supported Smart Android HD LED TV Wi-Fi and 2GB RAM 16GB ROM - Smart Tv,https://www.daraz.com.bd/products/vikan-43-inch-4k-supported-smart-android-hd-led-tv-wi-fi-and-2gb-ram-16gb-rom-smart-tv-i256946619-s1206219093.html?search=1,"৳ 20,999","৳ 39,900"
"Samsung Smart HD TV 32"" UA32T4400ARSER=With Wifi (Official Samsung Warranty)",https://www.daraz.com.bd/products/samsung-hd-32-ua32t4400arser-wifi-samsung-i264243753-s1234646891.html?search=1,"৳ 24,764","৳ 32,900"
Minister M-43 ANDROID VOICE MI43M30PVB BLACK,https://www.daraz.com.bd/products/m-43-mi43m30pvb-i316028557-s1429183914.html?search=1,"৳ 29,110","৳ 49,500"
OnePlus Y1G 32 Inch Android TV 11 Updated Global Version,https://www.daraz.com.bd/products/oneplus-y1g-32-11-i286116598-s1284098013.html?search=1,"৳ 19,200","৳ 26,000"
Samsung AU7700 43 Inch Crystal 4K UHD Smart TV - Black,https://www.daraz.com.bd/products/samsung-au7700-43-inch-crystal-4k-uhd-smart-tv-black-i204048014-s1152124808.html?search=1,"৳ 47,474","৳ 59,900"
SAMSUNG AU7500 43 INCH HD 4K ULTRA SMART LED TV,https://www.daraz.com.bd/products/samsung-au7500-43-hd-4k-led-i323914896-s1546616813.html?search=1,"৳ 45,409","৳ 55,900"
Samsung 43″ Crystal 4K UHD Smart TV | 43CU7500,https://www.daraz.com.bd/products/samsung-43-crystal-4k-uhd-smart-tv-43cu7500-i330229779-s1608794335.html?search=1,"৳ 40,632","৳ 70,900"
Samsung 43T5400 43-Inch Full HD Smart Led Television,https://www.daraz.com.bd/products/samsung-43t5400-43-hd-led-i326856366-s1582113346.html?search=1,"৳ 36,316","৳ 50,900"
Samsung 65Q70B 65 Inch QLED 4K UHD Smart LED Television,https://www.daraz.com.bd/products/samsung-65q70b-65-qled-4k-uhd-led-i324739173-s1555105992.html?search=1,"৳ 149,574","৳ 269,900"
Samsung 50AU7700 50 inch Crystal 4K UHD Smart LED Television,https://www.daraz.com.bd/products/samsung-50au7700-50-4k-uhd-led-i326857409-s1582145204.html?search=1,"৳ 58,568","৳ 79,900"
DEIL 32 Inch WIFI-Smart 4K Android LED Television - A Grade Quality (2GB RAM - 16GB ROM),https://www.daraz.com.bd/products/deil-32-inch-wifi-smart-4k-android-led-television-a-grade-quality-2gb-ram-16gb-rom-i104840211-s1597438792.html?search=1,"৳ 12,936","৳ 22,000"
SONY PLUS 43 android version 9.0 Ram 2GB/16GB SMART HD TV,https://www.daraz.com.bd/products/sony-plus-43-90-ram-2gb16gb-hd-i281051610-s1268413655.html?search=1,"৳ 19,989","৳ 33,000"
"32 INCH Smart Android LED TV - 2GB RAM, 16GB ROM. VERSION 11",https://www.daraz.com.bd/products/32-led-2gb-ram-16gb-rom-11-i232050879-s1597372321.html?search=1,"৳ 12,200","৳ 18,000"
"Haier 32"" Android 11 HD Smart LED TV (H32K66GH)",https://www.daraz.com.bd/products/haier-32-11-hd-led-h32k66g-i279094622-s1263456978.html?search=1,"৳ 19,790","৳ 28,900"
"32"" Android smart tv 2GB RAM",https://www.daraz.com.bd/products/32-2gb-ram-i325660967-s1564682774.html?search=1,"৳ 12,796","৳ 20,500"
High Performance DEIL 32 Inch HD LED TV with 3D Comb Filter FULL HD 4K Supported Television (1366x768 Resolution) - (Black),https://www.daraz.com.bd/products/high-performance-deil-32-inch-hd-led-tv-with-3d-comb-filter-full-hd-4k-supported-television-1366x768-resolution-black-i102938540-s1597442418.html?search=1,"৳ 10,485","৳ 16,000"
"Deil 32-inch Smart LED TV - 2GB RAM, 16GB ROM, 4K Supported",https://www.daraz.com.bd/products/deil-32-inch-smart-led-tv-2gb-ram-16gb-rom-4k-supported-i232028577-s1597436739.html?search=1,"৳ 12,200","৳ 20,000"
SP 24 Inch ULTRA SLIM HD LED TV,https://www.daraz.com.bd/products/sp-24-inch-ultra-slim-hd-led-tv-i104802077-s1019602831.html?search=1,"৳ 7,600","৳ 10,500"
Black Diamond 24'' ULTRA SLIM LED TV,https://www.daraz.com.bd/products/black-diamond-24-ultra-slim-led-tv-i122140191-s1042057676.html?search=1,"৳ 7,555","৳ 10,000"
24'' WiFi- RAM -1GB - ROM - 8GB Smart Android TV,https://www.daraz.com.bd/products/24-wifi-ram-1gb-rom-8gb-i130238134-s1050068508.html?search=1,"৳ 9,700","৳ 12,000"
DEIL 24'' BASIC LED TV - Black,https://www.daraz.com.bd/products/deil-24-led-i102954425-s1597440650.html?search=1,"৳ 7,555","৳ 10,500"
KuGou HD Android Miracast 32 Inch Smart TV,https://www.daraz.com.bd/products/kugou-hd-android-miracast-32-inch-smart-tv-i253705831-s1199450348.html?search=1,"৳ 12,647","৳ 19,900"
AZWA 24 INCH SLIM LED TV,https://www.daraz.com.bd/products/azwa-24-inch-slim-led-tv-i100602658-s1598633066.html?search=1,"৳ 7,555","৳ 10,490"
Exceptional Quality - 24 Inch Hd LED Television - Black 24 Inch - Break Trend - Upscaled Reliablity - Effortless Usage,https://www.daraz.com.bd/products/exceptional-quality-24-inch-hd-led-television-black-24-inch-break-trend-upscaled-reliablity-effortless-usage-i100311831-s1437771056.html?search=1,"৳ 7,990","৳ 8,900"
SP 2GB RAM and 16GB ROM 32 inches Wi-Fi Android Smart LED TV,https://www.daraz.com.bd/products/sp-2gb-ram-and-16gb-rom-32-inches-wi-fi-android-smart-led-tv-i130334184-s1050202272.html?search=1,"৳ 12,500","৳ 18,000"
"Brand New NON SMART VERTEX 24"" LED TV",https://www.daraz.com.bd/products/brand-new-non-smart-vertex-24-led-tv-i287241474-s1434804760.html?search=1,"৳ 7,300","৳ 8,000"
"SONY PLUS 32 ANDROID SMART HD TV, WiFi Connection, Android, USB Play, Wall Mount and Mouse System",https://www.daraz.com.bd/products/sony-plus-32-hd-wifi-usb-i124177081-s1044454969.html?search=1,"৳ 12,699","৳ 27,800"
