title,url,processor Type,Generation,Price
Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Arctic Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15itl6-core-i3-1115g4-15.6-inch-fhd-display-arctic-grey-laptop, Core i3, 11th (Intel),"Tk 47,900 "
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-1-15amn7-amd-ryzen-3-7320u-15.6-inch-fhd-display-cloud-grey-laptop, Core i3, Not Applicable,"Tk 47,900 "
Acer Aspire 3 A315-510P (13th Gen Standard) Intel Core i3 N305 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,https://www.ryanscomputers.com/acer-aspire-3-a315-510p-intel-core-i3-n305-15.6-inch-fhd-display-pure-silver-laptop-nx.kdhsi.001, Core i3, 13th Standard (Intel),"Tk 47,900 "
HP 15s-du3611TU Intel Core i3 1125G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Jet Black Laptop,https://www.ryanscomputers.com/hp-15s-du3611tu-intel-core-i3-1125g4-15.6-inch-fhd-display-jet-black-laptop, Ryzen 3, 11th (Intel),"Tk 48,900 "
MSI Modern 14 C11M Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop#9S7-14J312-242,https://www.ryanscomputers.com/msi-modern-14-c11m-11th-gen-intel-core-i3-1115g4-14-inch-fhd-ips-display-classic-black-laptop, Core i3, 11th (Intel),"Tk 48,900 "
"Dell Inspiron 15 3535 AMD Ryzen 3 7320U 8GB RAM, 256GB SSD 15.6 Inch FHD Display Carbon Black Laptop",https://www.ryanscomputers.com/dell-inspiron-15-3535-amd-ryzen-3-7320u-8gb-ram-256gb-ssd-15.6-inch-fhd-display-carbon-black-laptop, Core i3, Not Applicable,"Tk 49,900 "
HP 250 G8 Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Ash Silver Laptop,https://www.ryanscomputers.com/hp-250-g8-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-ash-silver-laptop, Core i3, 11th (Intel),"Tk 52,900 "
"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 256GB SSD 14 Inch FHD Display Misty Blue Laptop",https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-14iau7-intel-core-i3-1215u-8gb-ram-256gb-ssd-14-inch-fhd-display-misty-blue-laptop, Core i3, 12th (Intel),"Tk 53,400 "
Lenovo IdeaPad Slim 3i 14ITL Intel Core i3 1115G4 8GB RAM 256GB SSD 14 Inch FHD Display Arctic Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-14itl-14-inch-arctic-grey-laptop, Core i3, 11th (Intel),"Tk 54,000 "
Asus ExpertBook P2451FA Intel Core i3 10110U 4GB RAM 1TB HDD 14 Inch FHD Display Star Black Laptop,https://www.ryanscomputers.com/asus-expertbook-p2451fa-intel-core-i3-10110u-14-inch-fhd-led-display-star-black-laptop-ek3345-p2451fa, Core i3, 10th (Intel),"Tk 55,500 "
HP 240 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 14 Inch FHD Display Ash Laptop,https://www.ryanscomputers.com/hp-240-g8-intel-core-i3-1115g4-14-inch-fhd-display-ash-laptop, Core i3, 11th (Intel),"Tk 56,000 "
HP 250 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD Display Silver Laptop,https://www.ryanscomputers.com/hp-250-g8-11th-gen-intel-core-i3-1115g4-15.6-inch-fhd-display-silver-laptop, Core i3, 11th (Intel),"Tk 56,000 "
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15itl6-intel-core-i3-1115g4-15.6-inch-fhd-display-arctic-grey-laptop, Ryzen 3, 11th (Intel),"Tk 56,500 "
Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Arctic Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-14itl6-intel-core-i3-1115g4-14-inch-fhd-display-arctic-grey-laptop, Ryzen 5, 11th (Intel),"Tk 56,500 "
HP 255 G8 AMD Ryzen 3 5300U 8GB RAM 1TB HDD 15.6 Inch FHD Display Silver Laptop,https://www.ryanscomputers.com/hp-255-g8-amd-ryzen-3-5300u-8gb-ram-1tb-hdd-15.6-inch-fhd-display-silver-laptop, Core i5, Not Applicable,"Tk 56,900 "
Acer Aspire 3 A315-24P AMD Ryzen 5 7520U 8GB RAM 15.6 Inch FHD Display Pure Silver Laptop,https://www.ryanscomputers.com/acer-aspire-3-a315-24p-amd-ryzen-5-7520u-8gb-ram-15.6-inch-fhd-display-pure-silver-laptop, Core i5, Not Applicable,"Tk 57,000 "
"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Silver Laptop",https://www.ryanscomputers.com/infinix-in-book-y2-plus-intel-core-i5-1155g7-8gb-ram-512gb-ssd-15.6-inch-fhd-display-silver-laptop, Core i3, 11th (Intel),"Tk 57,500 "
"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Grey Laptop",https://www.ryanscomputers.com/infinix-inbook-y2-plus-intel-core-i5-1155g7-8gb-ram-512gb-ssd-15.6-inch-fhd-display-grey-laptop, Core i3, 11th (Intel),"Tk 57,500 "
Lenovo V15 Gen 3 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Iron Grey Laptop,https://www.ryanscomputers.com/lenovo-v15-gen-3-intel-core-i3-1215u-15.6-inch-fhd-display-iron-grey-laptop, Core i3, 12th (Intel),"Tk 57,500 "
"Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM, 512GB SSD 14 Inch FHD Display Arctic Grey Laptop",https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-14iau7-intel-core-i3-1215u-8gb-ram-512gb-ssd-14-inch-fhd-display-arctic-grey-laptop, Core i3, 12th (Intel),"Tk 57,500 "
"Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i3 1215U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Abyss Blue Laptop",https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15iau7-intel-core-i3-1215u-8gb-ram-512gb-ssd-15.6-inch-fhd-display-abyss-blue-laptop, Core i3, 12th (Intel),"Tk 57,500 "
Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Black Laptop,https://www.ryanscomputers.com/dell-inspiron-15-3520-intel-core-i3-1215u-15.6-inch-fhd-display-carbon-black-laptop, Core i3, 12th (Intel),"Tk 58,000 "
Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Antiglare Display Arctic Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-14itl6-11th-gen-intel-core-i3-1115g4-14-inch-fhd-antiglare-display-arctic-grey-laptop-82h701kcin-2y, Core i3, 11th (Intel),"Tk 58,990 "
Chuwi CoreBook XPro Intel Core i3 1215U 16GB RAM 512GB SSD 15.6 Inch FHD Display Grey Laptop,https://www.ryanscomputers.com/chuwi-corebook-xpro-intel-core-i3-1215u-15.6-inch-fhd-display-grey-laptop, Core i5, 12th (Intel),"Tk 58,990 "
Asus VivoBook 15 K513EA Intel Core i3 1115G4 4GB RAM 512GB SSD 15.6 Inch FHD OLED Display Hearty Gold Laptop,https://www.ryanscomputers.com/asus-vivobook-15-k513ea-intel-core-i3-1115g4-15.6-inch-fhd-oled-display-hearty-gold-laptop, Ryzen 3, 11th (Intel),"Tk 59,500 "
Infinix INBOOK X2 Intel Core i5 1155G7 8GB RAM 512GB SSD14 Inch FHD Display Grey Laptop,https://www.ryanscomputers.com/infinix-inbook-x2-intel-core-i5-1155g7-8gb-ram-512gb-ssd14-inch-fhd-display-grey-laptop, Core i5, 11th (Intel),"Tk 59,500 "
"Asus VivoBook Go 15 E1504FA AMD Ryzen 3 7320U 8GB RAM, 512GB SSD 15.6 Inch FHD LED Display Mixed Black Laptop",https://www.ryanscomputers.com/asus-vivobook-go-15-e1504fa-amd-ryzen-3-7320u-15.6-inch-fhd-led-display-mixed-black-laptop, Core i5, Not Applicable,"Tk 59,500 "
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Soft Lavender Laptop",https://www.ryanscomputers.com/avita-liber-v14-intel-core-i5-1135g7-8gb-ram-512gb-ssd-14-inch-fhd-display-soft-lavender-laptop, Core i5, 11th (Intel),"Tk 60,500 "
